YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,9,18,5,DL,2516,N928DL,ATL,VPS,1930,1923,-7,25,1948,70,86,45,250,1933,16,1940,1949,9,0,0,,,,,,
2015,10,8,4,B6,1776,N346JB,14100,10721,834,848,14,13,901,76,68,48,280,949,7,950,956,6,0,0,,,,,,
2015,6,27,6,DL,1289,N955DN,MSP,PHX,1745,1752,7,16,1808,198,184,164,1276,1852,4,1903,1856,-7,0,0,,,,,,
2015,11,21,6,AA,1425,N467AA,STL,ORD,1754,,,,,87,,,258,,,1921,,,0,1,B,,,,,
2015,6,2,2,EV,4899,N858AS,DTW,LEX,1200,1158,-2,17,1215,76,79,57,296,1312,5,1316,1317,1,0,0,,,,,,
2015,10,2,5,AS,158,N514AS,10299,14747,1755,1752,-3,11,1803,195,200,176,1448,2159,13,2210,2212,2,0,0,,,,,,
2015,10,19,1,WN,2254,N251WN,11618,12191,1310,1308,-2,15,1323,230,208,187,1411,1530,6,1600,1536,-24,0,0,,,,,,
2015,7,20,1,WN,1194,N954WN,LAS,DTW,1245,1303,18,12,1315,240,213,192,1749,1927,9,1945,1936,-9,0,0,,,,,,
2015,6,24,3,WN,1724,N636WN,SAT,DAL,600,556,-4,7,603,65,52,40,248,643,5,705,648,-17,0,0,,,,,,
2015,8,29,6,DL,445,N385DN,JFK,SAT,1840,1840,0,58,1938,257,281,214,1587,2212,9,2157,2221,24,0,0,,24,0,0,0,0
2015,7,15,3,AA,716,N195UW,CLT,PHL,1450,1514,24,19,1533,105,100,73,449,1646,8,1635,1654,19,0,0,,0,0,6,13,0
2015,7,10,5,DL,2828,N957DN,ATL,DAY,2117,2115,-2,24,2139,95,98,68,432,2247,6,2252,2253,1,0,0,,,,,,
2015,8,23,7,OO,2886,N417SW,LAX,FAT,2000,2004,4,17,2021,63,58,37,209,2058,4,2103,2102,-1,0,0,,,,,,
2015,11,3,2,AA,498,N678AW,PHX,DCA,1545,1540,-5,22,1602,253,260,224,1979,2146,14,2158,2200,2,0,0,,,,,,
2015,12,9,3,WN,2421,N567WN,LAS,SAN,930,926,-4,10,936,65,57,44,258,1020,3,1035,1023,-12,0,0,,,,,,
2015,4,23,4,OO,5305,N956SW,ONT,SFO,1406,1527,81,18,1545,90,79,58,363,1643,3,1536,1646,70,0,0,,0,0,0,70,0
2015,6,16,2,WN,1875,N8668A,PHX,DEN,1445,1451,6,12,1503,105,101,79,602,1722,10,1730,1732,2,0,0,,,,,,
2015,8,23,7,WN,1504,N792SW,SMF,LAS,1210,1218,8,6,1224,80,83,66,397,1330,11,1330,1341,11,0,0,,,,,,
2015,5,16,6,WN,1068,N749SW,MCO,PVD,730,726,-4,20,746,165,172,147,1072,1013,5,1015,1018,3,0,0,,,,,,
2015,12,2,3,DL,1267,N352NW,ATL,DTW,1725,1723,-2,10,1733,115,99,85,594,1858,4,1920,1902,-18,0,0,,,,,,
2015,9,29,2,MQ,3620,N670MQ,CVG,JFK,1240,1232,-8,21,1253,127,131,103,589,1436,7,1447,1443,-4,0,0,,,,,,
2015,11,30,1,EV,4480,N11127,IAH,CRW,1350,1345,-5,14,1359,153,140,123,975,1702,3,1723,1705,-18,0,0,,,,,,
2015,8,12,3,DL,391,N353NB,MSN,MSP,1930,1926,-4,10,1936,66,57,43,228,2019,4,2036,2023,-13,0,0,,,,,,
2015,2,14,6,US,1875,N836AW,BWI,CLT,1344,1341,-3,12,1353,91,90,63,361,1456,15,1515,1511,-4,0,0,,,,,,
2015,12,29,2,UA,2032,,SFO,ORD,1154,,,,,262,,,1846,,,1816,,,0,1,B,,,,,
2015,3,15,7,DL,2298,N904DE,ATL,SRQ,910,910,0,13,923,89,88,70,444,1033,5,1039,1038,-1,0,0,,,,,,
2015,4,19,7,WN,320,N732SW,SFO,LAS,1150,1145,-5,17,1202,100,92,70,414,1312,5,1330,1317,-13,0,0,,,,,,
2015,10,21,3,WN,1964,N463WN,15304,11697,645,640,-5,16,656,55,60,39,197,735,5,740,740,0,0,0,,,,,,
2015,6,17,3,US,1775,N944UW,PHL,AUS,1620,1615,-5,32,1647,228,230,193,1430,1900,5,1908,1905,-3,0,0,,,,,,
2015,3,7,6,AA,1293,N3AHAA,STX,MIA,1658,1727,29,13,1740,197,185,162,1139,1922,10,1915,1932,17,0,0,,0,0,0,17,0
2015,9,16,3,NK,615,N632NK,BOS,FLL,1738,1742,4,22,1804,206,201,170,1237,2054,9,2104,2103,-1,0,0,,,,,,
2015,3,2,1,EV,4370,N14171,IAH,MFE,1715,1715,0,,,78,,,316,,,1833,,,0,1,B,,,,,
